timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2020-12-31T00:00:00.000Z";"2020-12-31T23:59:59.999Z";"2020-12-31T20:03:04.000Z";"2020-12-31T13:07:04.000Z";"2781";1.53560627;1.5506101;1.430263;1.51089796;12763259.57;70362439.69813043;"2020-12-31T23:59:59.999Z"
"2020-12-30T00:00:00.000Z";"2020-12-30T23:59:59.999Z";"2020-12-30T00:01:04.000Z";"2020-12-30T23:01:04.000Z";"2781";1.66969419;1.68079114;1.52983347;1.53545722;12663615.74;71506163.4013444;"2020-12-30T23:59:59.999Z"
"2020-12-29T00:00:00.000Z";"2020-12-29T23:59:59.999Z";"2020-12-29T21:20:05.000Z";"2020-12-29T03:52:04.000Z";"2781";1.51546171;1.72758155;1.43971994;1.67434488;26355258.83;77974154.25075531;"2020-12-29T23:59:59.999Z"
"2020-12-28T00:00:00.000Z";"2020-12-28T23:59:59.999Z";"2020-12-28T23:46:04.000Z";"2020-12-28T00:04:04.000Z";"2781";1.30399327;1.51703752;1.29434876;1.5156849;12668149.82;70585367.3110688;"2020-12-28T23:59:59.999Z"
"2020-12-27T00:00:00.000Z";"2020-12-27T23:59:59.999Z";"2020-12-27T16:17:04.000Z";"2020-12-27T12:13:04.000Z";"2781";1.32507424;1.40874461;1.26825036;1.30304194;12286531.4;60682595.60513945;"2020-12-27T23:59:59.999Z"
"2020-12-26T00:00:00.000Z";"2020-12-26T23:59:59.999Z";"2020-12-26T00:47:04.000Z";"2020-12-26T22:22:04.000Z";"2781";1.44601353;1.44751724;1.31342435;1.3242381;6798656.32;61669699.53591306;"2020-12-26T23:59:59.999Z"
"2020-12-25T00:00:00.000Z";"2020-12-25T23:59:59.999Z";"2020-12-25T03:15:04.000Z";"2020-12-25T00:18:04.000Z";"2781";1.36149641;1.45292425;1.34723574;1.44540315;9359548.53;67312349.7325568;"2020-12-25T23:59:59.999Z"
"2020-12-24T00:00:00.000Z";"2020-12-24T23:59:59.999Z";"2020-12-24T23:00:05.000Z";"2020-12-24T00:26:04.000Z";"2781";1.20770464;1.38366788;1.17300697;1.3624084;9236938.51;63447288.3597502;"2020-12-24T23:59:59.999Z"
"2020-12-23T00:00:00.000Z";"2020-12-23T23:59:59.999Z";"2020-12-23T01:09:04.000Z";"2020-12-23T22:25:06.000Z";"2781";1.49022047;1.51058483;1.09016138;1.20569231;16776307.04;56149028.28607881;"2020-12-23T23:59:59.999Z"
"2020-12-22T00:00:00.000Z";"2020-12-22T23:59:59.999Z";"2020-12-22T14:19:04.000Z";"2020-12-22T08:32:04.000Z";"2781";1.53960926;1.57408037;1.47448471;1.49028596;11066564.74;69402539.96365425;"2020-12-22T23:59:59.999Z"
"2020-12-21T00:00:00.000Z";"2020-12-21T23:59:59.999Z";"2020-12-21T04:35:04.000Z";"2020-12-21T12:14:04.000Z";"2781";1.56377465;1.61832646;1.49515066;1.5419152;8333991.44;71806910.82416688;"2020-12-21T23:59:59.999Z"
"2020-12-20T00:00:00.000Z";"2020-12-20T23:59:59.999Z";"2020-12-20T09:40:04.000Z";"2020-12-20T22:11:04.000Z";"2781";1.67071446;1.68443034;1.52771357;1.56357617;9093229.5;72815661.41874595;"2020-12-20T23:59:59.999Z"
"2020-12-19T00:00:00.000Z";"2020-12-19T23:59:59.999Z";"2020-12-19T11:37:04.000Z";"2020-12-19T23:27:04.000Z";"2781";1.69926697;1.76425374;1.66426344;1.66865052;9095045;77708968.04744972;"2020-12-19T23:59:59.999Z"
"2020-12-18T00:00:00.000Z";"2020-12-18T23:59:59.999Z";"2020-12-18T10:25:04.000Z";"2020-12-18T00:32:04.000Z";"2781";1.67902372;1.70632716;1.63698718;1.69879993;7879396.91;79113024.8625208;"2020-12-18T23:59:59.999Z"
"2020-12-17T00:00:00.000Z";"2020-12-17T23:59:59.999Z";"2020-12-17T00:09:04.000Z";"2020-12-17T21:32:04.000Z";"2781";1.78389234;1.80312043;1.65521696;1.67863414;15461476.78;78173905.05369893;"2020-12-17T23:59:59.999Z"
"2020-12-16T00:00:00.000Z";"2020-12-16T23:59:59.999Z";"2020-12-16T23:53:04.000Z";"2020-12-16T03:31:04.000Z";"2781";1.76009215;1.78758439;1.61001834;1.78359783;18277631.04;83062058.57573813;"2020-12-16T23:59:59.999Z"
"2020-12-15T00:00:00.000Z";"2020-12-15T23:59:59.999Z";"2020-12-15T11:06:04.000Z";"2020-12-15T01:10:04.000Z";"2781";1.59103004;1.79941298;1.58926257;1.76067126;19470079.53;81994577.6015241;"2020-12-15T23:59:59.999Z"
"2020-12-14T00:00:00.000Z";"2020-12-14T23:59:59.999Z";"2020-12-14T09:13:04.000Z";"2020-12-14T13:23:04.000Z";"2781";1.56796842;1.62286872;1.52369835;1.5916455;8672051.96;74028444.08998717;"2020-12-14T23:59:59.999Z"
"2020-12-13T00:00:00.000Z";"2020-12-13T23:59:59.999Z";"2020-12-13T12:35:04.000Z";"2020-12-13T04:16:04.000Z";"2781";1.4907147;1.64291571;1.45811848;1.56545586;8389349.11;72419789.50182986;"2020-12-13T23:59:59.999Z"
"2020-12-12T00:00:00.000Z";"2020-12-12T23:59:59.999Z";"2020-12-12T12:48:04.000Z";"2020-12-12T00:01:04.000Z";"2781";1.44158958;1.53742939;1.44070645;1.4909121;7085230.84;68971785.3475111;"2020-12-12T23:59:59.999Z"
"2020-12-11T00:00:00.000Z";"2020-12-11T23:59:59.999Z";"2020-12-11T00:02:04.000Z";"2020-12-11T12:13:04.000Z";"2781";1.57236639;1.57670934;1.44060217;1.44458505;8273918.35;66829092.5972278;"2020-12-11T23:59:59.999Z"
"2020-12-10T00:00:00.000Z";"2020-12-10T23:59:59.999Z";"2020-12-10T00:03:04.000Z";"2020-12-10T15:19:04.000Z";"2781";1.66241416;1.66513513;1.54524047;1.57415052;6167983.17;72823506.21677381;"2020-12-10T23:59:59.999Z"
"2020-12-09T00:00:00.000Z";"2020-12-09T23:59:59.999Z";"2020-12-09T23:15:05.000Z";"2020-12-09T08:36:04.000Z";"2781";1.66462243;1.67427719;1.50367604;1.6623035;10461119.22;76902163.1339451;"2020-12-09T23:59:59.999Z"
"2020-12-08T00:00:00.000Z";"2020-12-08T23:59:59.999Z";"2020-12-08T00:02:04.000Z";"2020-12-08T23:01:05.000Z";"2781";1.83122209;1.83158113;1.64510584;1.66535169;11304051.08;77043677.15978801;"2020-12-08T23:59:59.999Z"
"2020-12-07T00:00:00.000Z";"2020-12-07T23:59:59.999Z";"2020-12-07T16:02:04.000Z";"2020-12-07T20:18:04.000Z";"2781";1.8534511;1.89568762;1.80948486;1.83117262;6425070.49;84715589.08777982;"2020-12-07T23:59:59.999Z"
